country1,country2,collaborations
Australia,Brazil,1
Benin,Senegal,1
Australia,Democratic Republic of the Congo,1
Benin,Iceland,1
Australia,Poland,1
Bangladesh,Brazil,1
Bangladesh,Democratic Republic of the Congo,1
Bangladesh,Ethiopia,1
Côte d'Ivoire,Mali,1
Ethiopia,Rwanda,1
Ethiopia,Sweden,1
Ethiopia,Tanzania,1
Ethiopia,Ukraine,1
Ethiopia,Zimbabwe,1
India,Panama,1
India,Ukraine,1
Nepal,Panama,1
Nepal,Rwanda,1
Nepal,Tanzania,1
Nepal,Ukraine,1
Nepal,Zimbabwe,1
Nigeria,Panama,1
Panama,Philippines,1
Panama,Rwanda,1
"Korea, Republic of",Turkmenistan,1
Panama,Tanzania,1
Panama,Uganda,1
Panama,Ukraine,1
Panama,United Kingdom,1
Panama,United States,1
Panama,Zimbabwe,1
Philippines,Rwanda,1
Philippines,Tanzania,1
Philippines,Ukraine,1
Philippines,Zimbabwe,1
Rwanda,Tanzania,1
Rwanda,Ukraine,1
Rwanda,Zimbabwe,1
Sweden,Ukraine,1
Sweden,Zimbabwe,1
Panama,Sweden,1
Cambodia,Panama,1
Cambodia,Rwanda,1
Cambodia,Uganda,1
Cambodia,Ukraine,1
Cambodia,Zimbabwe,1
Canada,Colombia,1
Canada,Democratic Republic of the Congo,1
Canada,Panama,1
Canada,Philippines,1
Canada,Ukraine,1
Colombia,Democratic Republic of the Congo,1
Colombia,Ethiopia,1
Colombia,Nepal,1
Colombia,Nigeria,1
Colombia,Panama,1
Ethiopia,Panama,1
Colombia,Rwanda,1
Colombia,Sweden,1
Colombia,Tanzania,1
Colombia,Uganda,1
Colombia,Ukraine,1
Colombia,United Kingdom,1
Colombia,Zimbabwe,1
Democratic Republic of the Congo,Nepal,1
Democratic Republic of the Congo,Nigeria,1
Democratic Republic of the Congo,Panama,1
Democratic Republic of the Congo,Philippines,1
Democratic Republic of the Congo,Sweden,1
Democratic Republic of the Congo,Tanzania,1
Democratic Republic of the Congo,Ukraine,1
Democratic Republic of the Congo,Zimbabwe,1
Colombia,Philippines,1
Cambodia,Mexico,1
Germany,Indonesia,1
France,Laos,1
Mali,Niger,1
India,Zambia,1
Belgium,United Arab Emirates,1
Burkina Faso,Taiwan,1
Canada,Taiwan,1
Republic of the Congo,Zambia,1
Australia,Singapore,1
China,"Korea, Republic of",1
China,Singapore,1
China,Thailand,1
Japan,Thailand,1
"Korea, Republic of",Malaysia,1
Tanzania,Ukraine,1
"Korea, Republic of",Thailand,1
"Korea, Republic of",Viet Nam,1
Malaysia,Singapore,1
Malaysia,Thailand,1
Malaysia,Viet Nam,1
Singapore,Viet Nam,1
Thailand,Viet Nam,1
Australia,Malawi,1
Cambodia,Italy,1
Cambodia,Malawi,1
Malawi,Switzerland,1
Malaysia,United Arab Emirates,1
Qatar,United Arab Emirates,1
Sudan,United Arab Emirates,1
Malta,Nigeria,1
"Korea, Republic of",Singapore,1
Uganda,Ukraine,1
Ukraine,United Kingdom,1
Ukraine,United States,1
Ukraine,Zimbabwe,1
Bahrain,Ethiopia,1
Egypt,Trinidad and Tobago,1
Japan,Lebanon,1
Bahrain,Ghana,1
Bahrain,United States,1
Belgium,Luxembourg,1
Democratic Republic of the Congo,Luxembourg,1
Ethiopia,Luxembourg,1
Luxembourg,Uganda,1
Belgium,Rwanda,1
China,Switzerland,1
Burundi,Mexico,1
Australia,Timor-Leste,1
Fiji,South Africa,1
Fiji,Thailand,1
Fiji,Timor-Leste,1
Fiji,United Kingdom,1
South Africa,Timor-Leste,1
Thailand,Timor-Leste,1
Timor-Leste,United Kingdom,1
Burundi,United Kingdom,1
Italy,Malaysia,1
Denmark,Switzerland,1
Australia,Tanzania,1
Germany,Malaysia,1
Kenya,United Arab Emirates,1
Burundi,Cambodia,1
Australia,Fiji,1
India,Turks and Caicos Islands,1
Nigeria,Turks and Caicos Islands,1
Kyrgyzstan,Poland,1
Sudan,Sweden,1
"Korea, Republic of",Pakistan,1
Brazil,Pakistan,1
Brazil,Tanzania,1
Brazil,Zimbabwe,1
Pakistan,Zimbabwe,1
Belgium,Pakistan,1
Israel,Switzerland,1
Israel,United States,1
Angola,Sweden,1
France,Tanzania,1
Hungary,India,1
Cambodia,Nepal,1
Hungary,Russian Federation,1
Hungary,United States,1
Iceland,India,1
Namibia,Netherlands,1
Cambodia,Pakistan,1
Côte d'Ivoire,France,1
Malawi,Republic of the Congo,1
Namibia,Republic of the Congo,1
Republic of the Congo,Switzerland,1
Afghanistan,Germany,1
Cameroon,Philippines,1
Laos,Pakistan,1
Mexico,Rwanda,1
Democratic Republic of the Congo,Netherlands,1
Côte d'Ivoire,Rwanda,1
Hungary,Japan,1
Guinea-Bissau,Mozambique,1
Guinea-Bissau,Netherlands,1
Azerbaijan,Ecuador,1
Kyrgyzstan,Sweden,1
Kyrgyzstan,Turkmenistan,1
Kyrgyzstan,United States,1
Poland,Sweden,1
Poland,Turkmenistan,1
Sweden,Turkmenistan,1
Turkmenistan,United Kingdom,1
Croatia,Mali,1
Australia,Rwanda,1
Egypt,West Bank and Gaza,1
Georgia,Ghana,1
Georgia,United Kingdom,1
Guyana,Turks and Caicos Islands,1
Argentina,Belgium,1
Argentina,Ethiopia,1
Argentina,Kenya,1
Argentina,United States,1
Norway,Pakistan,1
Canada,Saudi Arabia,1
Pakistan,Saudi Arabia,1
"Iran, Islamic Republic of",Ireland,1
"Iran, Islamic Republic of",United States,1
Sudan,Tanzania,1
Lithuania,Nigeria,1
Afghanistan,Mozambique,1
Democratic Republic of the Congo,Mozambique,1
Bangladesh,United Arab Emirates,1
Guyana,India,1
"Iran, Islamic Republic of",Pakistan,1
Bolivia,Ethiopia,1
Bolivia,India,1
Bolivia,Nepal,1
Bolivia,Nigeria,1
Bolivia,Panama,1
Bolivia,Philippines,1
Bolivia,Rwanda,1
Bolivia,Sweden,1
Bolivia,Tanzania,1
Bolivia,Uganda,1
Bolivia,Ukraine,1
Bolivia,United Kingdom,1
Bolivia,Zimbabwe,1
Botswana,Cambodia,1
Botswana,Canada,1
Mali,Nepal,1
Botswana,Democratic Republic of the Congo,1
Botswana,Ethiopia,1
Botswana,India,1
Botswana,Nepal,1
Botswana,Panama,1
Botswana,Philippines,1
Botswana,Rwanda,1
Botswana,Sweden,1
Botswana,Ukraine,1
Botswana,United States,1
Botswana,Zimbabwe,1
Cambodia,Canada,1
Cambodia,Colombia,1
Cambodia,Democratic Republic of the Congo,1
Cambodia,Ethiopia,1
Botswana,Colombia,1
Germany,New Zealand,1
Bangladesh,Republic of the Congo,1
Burkina Faso,Sweden,1
Sudan,United Kingdom,1
Australia,Papua New Guinea,1
Israel,United Kingdom,1
Belgium,Mauritania,1
Burkina Faso,Mauritania,1
Pakistan,Republic of the Congo,1
France,Poland,1
Poland,Tunisia,1
Germany,Slovakia,1
Malaysia,Serbia,1
Qatar,Serbia,1
Belgium,Jordan,1
Bolivia,Democratic Republic of the Congo,1
Bolivia,Colombia,1
Bolivia,Canada,1
Bolivia,Cambodia,1
Bolivia,Botswana,1
Canada,Italy,1
Burkina Faso,Italy,1
Indonesia,Thailand,1
Belgium,West Bank and Gaza,1
Denmark,Indonesia,1
China,Netherlands,1
Italy,Tanzania,1
Switzerland,Taiwan,1
Greece,Taiwan,1
Cambodia,Taiwan,1
Cambodia,Greece,1
Belgium,Greece,1
Denmark,Thailand,1
Armenia,Chile,1
Armenia,China,1
Armenia,Côte d'Ivoire,1
Armenia,India,1
Armenia,Japan,1
Armenia,Nepal,1
Armenia,Pakistan,1
Armenia,Portugal,1
Armenia,Serbia,1
Armenia,Sri Lanka,1
Armenia,United States,1
Armenia,Viet Nam,1
Australia,Chile,1
Australia,Côte d'Ivoire,1
Australia,Portugal,1
Malta,United Kingdom,1
Canada,Portugal,1
Canada,Sri Lanka,1
Canada,Viet Nam,1
Chile,China,1
Chile,Côte d'Ivoire,1
Chile,Nepal,1
Chile,Nigeria,1
Chile,Pakistan,1
Chile,Portugal,1
Chile,Sri Lanka,1
Chile,Viet Nam,1
China,Côte d'Ivoire,1
China,Portugal,1
China,Sri Lanka,1
Côte d'Ivoire,India,1
Australia,Sri Lanka,1
Japan,Myanmar,1
Myanmar,Viet Nam,1
Australia,Uganda,1
Ethiopia,Puerto Rico,1
Bhutan,Thailand,1
Egypt,Pakistan,1
Cameroon,China,1
Palau,United States,1
Palau,West Bank and Gaza,1
United States,West Bank and Gaza,1
Pakistan,West Bank and Gaza,1
Sweden,West Bank and Gaza,1
Taiwan,United Kingdom,1
"Korea, Republic of",Taiwan,1
Afghanistan,Tajikistan,1
Armenia,Canada,1
Tajikistan,Tunisia,1
Senegal,Spain,1
Bangladesh,Philippines,1
Norway,Sierra Leone,1
Kenya,Mexico,1
Kenya,Slovenia,1
Mexico,Slovenia,1
Mexico,South Africa,1
Slovenia,South Africa,1
Nigeria,Poland,1
Poland,Uganda,1
Ireland,Sweden,1
Ireland,Viet Nam,1
Türkiye,Zambia,1
Armenia,Australia,1
Afghanistan,Tunisia,1
Denmark,Zimbabwe,1
Belgium,Denmark,1
Belgium,Mali,1
Cambodia,Denmark,1
Denmark,Mali,1
Canada,Cyprus,1
Canada,Russian Federation,1
Chile,Cyprus,1
Chile,Russian Federation,1
Cyprus,Germany,1
Cyprus,India,1
Cyprus,Japan,1
Cyprus,Serbia,1
Germany,Russian Federation,1
Egypt,Sudan,1
Côte d'Ivoire,Japan,1
Saudi Arabia,United States,1
Sudan,United States,1
France,Japan,1
Hong Kong,Nigeria,1
France,Qatar,1
Germany,Rwanda,1
China,Russian Federation,1
Pakistan,Russian Federation,1
Greece,Italy,1
Burundi,Japan,1
Burundi,Switzerland,1
France,Zambia,1
Sweden,The Gambia,1
Australia,Qatar,1
India,Qatar,1
Saudi Arabia,Sudan,1
Côte d'Ivoire,Nepal,1
Côte d'Ivoire,Nigeria,1
Côte d'Ivoire,Pakistan,1
Côte d'Ivoire,Portugal,1
Côte d'Ivoire,Serbia,1
Côte d'Ivoire,Sri Lanka,1
Côte d'Ivoire,Viet Nam,1
India,Portugal,1
Japan,Nepal,1
Japan,Portugal,1
Japan,Sri Lanka,1
Nepal,Portugal,1
Nepal,Sri Lanka,1
Nepal,Viet Nam,1
Nigeria,Portugal,1
Ghana,Zimbabwe,1
Pakistan,Portugal,1
Pakistan,Serbia,1
Pakistan,Sri Lanka,1
Pakistan,Viet Nam,1
Portugal,Serbia,1
Portugal,Sri Lanka,1
Portugal,United States,1
Portugal,Viet Nam,1
Serbia,Sri Lanka,1
Serbia,Viet Nam,1
Sri Lanka,Viet Nam,1
Belgium,Niger,1
Niger,Switzerland,1
Egypt,Germany,1
Egypt,Hungary,1
Nigeria,Sri Lanka,1
Bahrain,Belgium,1
Bahrain,Tunisia,1
Belgium,Tunisia,1
Chile,Ethiopia,1
Chile,France,1
Chile,Netherlands,1
Chile,Philippines,1
Chile,South Africa,1
Chile,Uganda,1
Chile,United Kingdom,1
France,Serbia,1
France,Uganda,1
Serbia,Uganda,1
Bangladesh,Malawi,1
India,Oman,1
Cambodia,Myanmar,1
Kuwait,Malaysia,1
Bangladesh,Kazakhstan,1
Kazakhstan,Sweden,1
Kazakhstan,United Kingdom,1
Ghana,Mozambique,1
Ghana,Rwanda,1
Mozambique,Rwanda,1
Mozambique,Zambia,1
Rwanda,Zambia,1
Benin,United Kingdom,1
India,Spain,1
France,Morocco,1
Kazakhstan,Kenya,1
Kazakhstan,South Africa,1
Kazakhstan,Sudan,1
Cameroon,Switzerland,1
Germany,Uzbekistan,1
Uganda,Uzbekistan,1
Ireland,South Africa,1
Canada,Peru,1
Ethiopia,Malawi,1
Ethiopia,Peru,1
Malawi,Peru,1
Netherlands,Pakistan,1
Pakistan,Peru,1
Peru,United Kingdom,1
Peru,United States,1
Bangladesh,South Africa,1
Bahrain,Nepal,1
Benin,Nepal,1
Rwanda,Tajikistan,1
Spain,Zambia,1
Bangladesh,Saudi Arabia,1
Burundi,Germany,1
Bangladesh,Chile,1
Belgium,Chad,1
Burkina Faso,Chad,1
Chad,Switzerland,1
Laos,Norway,1
Laos,South Africa,1
Ghana,Mexico,1
Ghana,Peru,1
Mexico,Peru,1
Mexico,Spain,1
Mexico,Zambia,1
Peru,Spain,1
Peru,Zambia,1
Tajikistan,United States,1
Czechia,Ghana,1
Austria,France,1
Austria,Kenya,1
Ireland,Kenya,1
Ghana,Lebanon,1
Lebanon,Switzerland,1
Japan,Papua New Guinea,1
Netherlands,New Zealand,1
Benin,Republic of the Congo,1
Burkina Faso,Republic of the Congo,1
France,Republic of the Congo,1
Mali,Republic of the Congo,1
Sweden,Switzerland,1
Burkina Faso,Hong Kong,1
Canada,Hong Kong,1
South Africa,Sudan,1
Burkina Faso,Ethiopia,1
Denmark,Uganda,1
Laos,United Kingdom,1
Cyprus,Türkiye,1
Nigeria,Türkiye,1
Russian Federation,Türkiye,1
Canada,Mozambique,1
Côte d'Ivoire,Mozambique,1
Jordan,Portugal,1
Lebanon,Portugal,1
Portugal,West Bank and Gaza,1
Finland,India,1
Finland,Switzerland,1
Finland,The Gambia,1
India,The Gambia,1
Nigeria,Tajikistan,1
Kenya,Togo,1
Germany,Nepal,1
Ghana,Kazakhstan,1
"Korea, Republic of",Puerto Rico,1
Puerto Rico,United States,1
Indonesia,Netherlands,1
India,Morocco,1
Benin,Egypt,1
Benin,Morocco,1
Egypt,Tunisia,1
Germany,Mozambique,1
Germany,Somalia,1
Kenya,Somalia,1
Mozambique,Somalia,1
Finland,Germany,1
Thailand,Zimbabwe,1
Myanmar,Taiwan,1
Afghanistan,United Kingdom,1
China,Malawi,1
Canada,United Arab Emirates,1
India,Laos,1
Cuba,United States,1
Cuba,Spain,1
Finland,Malawi,1
Bolivia,Cuba,1
Mali,Malta,1
India,Mali,1
France,Nepal,1
France,Myanmar,1
Netherlands,Zimbabwe,1
Australia,Zimbabwe,1
Belgium,Lesotho,1
Bolivia,Spain,1
